ID_Curso,ID_Profesor,Nombre,Descripcion,Fecha_Inicio,Fecha_Fin,Modalidad,Duracion,Horarios
3,46,"Pre-emptive scalable budgetary management","Around into hair side to budget toward.","2024-03-21","2024-03-27","Presencial","6 meses","MJ 14:00-15:30"
2,96,"Profound didactic definition","Seven care should keep.","2024-06-14","2024-05-22","En línea","1 año","LMV 10:00-11:00"
9,3,"Multi-lateral zero-defect methodology","Economy upon appear son often oil country.","2024-03-01","2024-01-29","Presencial","1 año","MJ 14:00-15:30"
4,12,"Cross-group actuating monitoring","Policy his itself another evidence prove.","2024-06-16","2024-07-21","Presencial","3 meses","MJ 14:00-15:30"
9,2,"Versatile tangible methodology","Decide wall budget study reason early.","2024-03-31","2024-03-18","En línea","3 meses","LMV 10:00-11:00"
9,25,"Multi-tiered reciprocal orchestration","Follow happy material along both.","2024-01-27","2024-03-05","En línea","3 meses","LMV 10:00-11:00"
7,93,"Networked 24hour framework","Model cup central.","2024-04-25","2024-03-17","Presencial","6 meses","LMV 10:00-11:00"
1,56,"Operative systematic initiative","Second indicate art whole skin why knowledge.","2024-05-14","2024-02-14","En línea","3 meses","LMV 10:00-11:00"
3,56,"Re-contextualized grid-enabled open architecture","Red kind some pass office.","2024-06-12","2024-01-06","En línea","3 meses","LMV 10:00-11:00"
2,12,"Front-line asymmetric Local Area Network","Government himself conference yet political.","2024-01-20","2024-04-14","Presencial","6 meses","MJ 14:00-15:30"
